Tokenizer,Vocab Size,Num Hidden Layers,Hidden Size,Hidden Act,Hidden Dropout Prob,Intermediate Size,Num Attention Heads,Attention Probs Dropout Prob,Max Sequence Length,Position Embedding Type,Learning Rate,Batch Size,Accuracy,Prediction Flips
Unigram,9907,2,234,gelu,0.5,2307,3,0.5,310,relative_key,0.001,8,0.6666666666666666,0
Word,14808,8,97,relu,0.5,384,1,0.5,269,relative_key,0.001,8,0.6666666666666666,0
WordPiece,25629,9,75,relu,0.3,2993,5,0.3,399,relative_key,5e-05,16,0.9328339575530586,90
Unigram,10906,12,214,relu,0.5,1734,2,0.5,501,relative_key,0.0001,8,0.7080943275971957,2862
Word,4523,3,225,gelu,0.4,1502,3,0.4,324,absolute,5e-05,8,0.9375305026842362,172
BPE,44199,9,90,silu,0.4,2978,5,0.4,384,relative_key_query,0.001,8,0.6666666666666666,4000
Unigram,16713,11,78,gelu_new,0.3,3023,1,0.3,396,absolute,0.0001,8,0.9402910185649774,167
Unigram,34836,10,112,relu,0.3,2043,4,0.3,476,absolute,5e-05,8,0.9123173277661796,263
Unigram,22178,7,241,gelu,0.4,48,1,0.4,318,relative_key_query,0.0001,8,0.9622546552591847,64
Unigram,24201,12,160,relu,0.5,1814,4,0.5,394,relative_key,0.001,8,0.6666666666666666,4000
BPE,43244,12,110,gelu,0.3,1104,11,0.3,380,relative_key_query,5e-05,8,0.9025563148569983,93
Unigram,43644,10,150,relu,0.3,2804,10,0.3,334,absolute,0.001,8,0.6666666666666666,0
Unigram,35627,8,242,relu,0.4,1569,11,0.4,368,absolute,0.0001,8,0.9097297297297297,61
Unigram,15882,8,77,relu,0.5,490,7,0.5,457,relative_key,0.0001,16,0.842326928138984,60
WordPiece,40096,4,165,gelu_new,0.5,163,3,0.5,284,relative_key,5e-05,8,0.8515704154002026,199
Unigram,41654,8,212,gelu_new,0.4,2635,4,0.4,310,relative_key,0.0001,8,0.9107007336200356,159
WordPiece,1148,3,147,silu,0.3,74,3,0.3,364,relative_key,0.001,16,0.88,96
WordPiece,8808,9,39,relu,0.3,2660,3,0.3,324,relative_key,0.001,16,0.6666666666666666,0
Unigram,4655,7,168,relu,0.5,32,6,0.5,389,relative_key_query,0.001,8,0.6666666666666666,4000
Unigram,29126,8,242,silu,0.3,1684,11,0.3,420,relative_key,0.0001,8,0.958074919374845,54
WordPiece,6106,10,84,silu,0.4,2171,4,0.4,266,relative_key,0.0001,8,0.9086903304773561,59
Word,12248,5,135,relu,0.4,1922,5,0.4,394,absolute,0.0001,8,0.9280847842543528,102
WordPiece,4663,9,180,silu,0.5,1582,1,0.5,314,relative_key,0.0001,16,0.8795024617776627,126
